,testing_grid,mmd_degree,mmd_laplacian,mmd_cycle
0,1-LV-rural1--1-no_sw,1.4208919855015751,1.3343702417900578,0.15879540434622363
1,1-LV-rural2--1-no_sw,0.8308930500945001,0.7992548679878557,1.030666940553139
2,1-LV-rural3--1-no_sw,0.6801081574194155,0.6717509166140584,1.3679557890543714
3,1-LV-semiurb4--1-no_sw,0.7554976034943436,1.0930818632737345,0.37052375488136313
4,1-LV-semiurb5--1-no_sw,0.7364124273356115,0.7450364993342911,1.1930998337871679
5,1-LV-urban6--1-no_sw,1.0571453490956937,0.96765442502668,0.5408591714682687
6,1-MV-comm--1-no_sw,0.4686536672781057,0.6427981336447475,0.1293628103228488
7,1-MV-rural--1-no_sw,0.4956673645363182,0.7097370920173045,0.12932833713769365
8,1-MV-semiurb--1-no_sw,0.5113495147813352,0.6835607487024711,0.12923819238623646
9,1-MV-urban--1-no_sw,0.9328052198871046,0.741767384345414,0.12866062878022055
